Timestamp,Frame,TrackID,Class,Confidence,Gender,Age,X,Y,Width,Height
6.21,180,1,person,0.714,Man,34,647,368,52,120
6.21,180,4,person,0.621,Man,28,542,298,41,119
6.24,181,1,person,0.623,Man,34,647,364,48,137
6.24,181,4,person,0.604,Man,28,543,297,39,113
6.28,182,1,person,0.528,Man,34,645,363,45,127
6.28,182,4,person,0.588,Man,28,544,299,34,99
6.31,183,1,person,0.554,Man,34,646,363,39,107
6.34,184,1,person,0.692,Man,34,645,363,48,119
6.34,184,4,person,0.549,Man,28,544,301,33,99
6.38,185,1,person,0.712,Man,34,644,365,45,114
6.38,185,4,person,0.561,Man,28,544,300,34,102
6.41,186,1,person,0.524,Man,34,643,364,46,105
6.41,186,4,person,0.634,Man,28,544,298,36,112
6.45,187,1,person,0.747,Man,34,641,361,51,122
6.45,187,4,person,0.734,Man,28,543,298,39,105
6.48,188,1,person,0.732,Man,34,643,359,49,128
6.48,188,4,person,0.682,Man,28,544,300,37,99
6.52,189,1,person,0.634,Man,34,644,361,47,108
6.52,189,4,person,0.628,Man,28,546,300,34,103
6.55,190,1,person,0.664,Man,34,645,363,44,93
6.55,190,4,person,0.665,Man,28,547,299,32,106
6.59,191,1,person,0.67,Man,34,645,364,40,113
6.59,191,4,person,0.606,Man,28,546,298,35,115
6.62,192,1,person,0.697,Man,34,646,363,39,127
6.62,192,4,person,0.607,Man,28,545,298,35,106
6.66,193,1,person,0.69,Man,34,646,364,41,128
6.66,193,4,person,0.571,Man,28,544,299,35,99
6.72,195,1,person,0.631,Man,34,643,370,42,116
6.76,196,1,person,0.698,Man,34,643,372,42,114
6.79,197,1,person,0.64,Man,34,644,372,43,121
6.79,197,4,person,0.704,Man,28,547,298,34,108
6.83,198,1,person,0.766,Man,34,643,369,46,127
6.83,198,4,person,0.69,Man,28,548,300,34,106
6.86,199,1,person,0.753,Man,34,643,368,48,133
6.86,199,4,person,0.717,Man,28,549,303,34,102
6.9,200,1,person,0.639,Man,34,643,370,49,131
6.9,200,4,person,0.616,Man,28,551,305,33,98
6.93,201,1,person,0.772,Man,34,642,371,49,125
6.93,201,4,person,0.667,Man,28,553,304,31,102
6.97,202,1,person,0.754,Man,34,641,372,44,120
6.97,202,4,person,0.673,Man,28,553,303,35,108
7.0,203,1,person,0.723,Man,34,640,371,45,125
7.03,204,1,person,0.629,Man,34,640,370,42,119
7.03,204,4,person,0.719,Man,28,554,303,37,107
7.07,205,1,person,0.739,Man,34,639,372,43,108
7.07,205,4,person,0.73,Man,28,555,305,36,105
7.1,206,1,person,0.815,Man,34,638,373,44,109
7.1,206,4,person,0.623,Man,28,554,305,34,100
7.14,207,1,person,0.811,Man,34,638,375,45,108
7.14,207,4,person,0.505,Man,28,555,303,34,88
7.17,208,1,person,0.765,Man,34,637,374,48,112
7.17,208,4,person,0.629,Man,28,553,302,38,109
7.21,209,1,person,0.786,Man,34,638,370,50,119
7.24,210,1,person,0.782,Man,34,637,369,51,115
7.24,210,4,person,0.661,Man,28,556,304,35,99
7.28,211,1,person,0.693,Man,34,637,369,51,123
7.28,211,4,person,0.725,Man,28,558,308,35,99
7.31,212,1,person,0.792,Man,34,638,370,48,124
7.31,212,4,person,0.729,Man,28,557,309,36,101
7.34,213,1,person,0.8,Man,34,637,369,46,126
7.34,213,4,person,0.602,Man,28,558,307,35,113
7.38,214,1,person,0.814,Man,34,637,368,43,120
7.41,215,1,person,0.653,Man,34,637,368,43,106
7.45,216,1,person,0.684,Man,34,638,369,40,90
7.45,216,4,person,0.539,Man,28,559,307,31,98
7.48,217,1,person,0.62,Man,34,637,370,40,96
7.48,217,4,person,0.711,Man,28,559,308,35,105
7.52,218,1,person,0.79,Man,34,636,372,43,110
7.52,218,4,person,0.756,Man,28,559,307,35,109
7.55,219,1,person,0.644,Man,34,634,372,47,118
7.55,219,4,person,0.686,Man,28,559,303,37,116
7.59,220,1,person,0.731,Man,34,634,368,48,128
7.59,220,4,person,0.58,Man,28,560,302,37,117
7.62,221,1,person,0.761,Man,34,633,364,49,137
7.66,222,4,person,0.654,Man,28,563,305,33,108
7.69,223,4,person,0.573,Man,28,565,307,34,112
